RegionType,RegionName,City,State,Metro,CBSATitle,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
City,Simi Valley,Simi Valley,CA,"Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",228,9.18257646,89.09,4.3267,1.5035,512200,0.886350207,6.597294485,0.039072628,41.7,0.072852418,0.034426948,74
City,Concord,Concord,CA,"San Francisco, CA","San Francisco-Oakland-Hayward, CA",229,7.414272475,89.04,7.1694,1.3107,493900,0.631621842,10.27014959,0.027359789,51.3,0.074404076,0.023182158,51
City,Sterling Heights,Sterling Heights,MI,"Detroit, MI","Detroit-Warren-Dearborn, MI",230,6.781278962,,,,169100,0.475341652,3.742331288,0.02854524,28.2,0.089416539,0.015212807,95
City,Elizabeth,Elizabeth,NJ,"New York, NY","New York-Newark-Jersey City, NY-NJ-PA",231,0.304911956,70,16.8933,10.1865,244000,1.244813278,1.539741989,0.021979508,110.9,0.321882969,0.213254057,141
City,Frisco,Frisco,TX,"Dallas-Fort Worth, TX","Dallas-Fort Worth-Arlington, TX",232,9.96107507,94.67,1.5417,0.844,350800,0.688863375,15.1674327,0.063888255,19.2,0.049529402,0.003588896,63
City,Joliet,Joliet,IL,"Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI",233,0.308619092,66.67,,,116800,0,0.429922614,0.016506849,120.9,0.269104901,0.066765263,117.5
City,Carrollton,Carrollton,TX,"Dallas-Fort Worth, TX","Dallas-Fort Worth-Arlington, TX",234,9.923076923,91.92,3.0533,1.7812,214000,0.943396226,16.30434783,0.065574766,18.3,0.037651287,0.007683765,54
City,Billings,Billings,MT,"Billings, MT","Billings, MT",235,9.271547729,90.91,,,193900,0.622729632,6.655665567,0.029850438,22.3,0.097130823,0.010362554,83
City,Allentown,Allentown,PA,"Allentown, PA","Allentown-Bethlehem-Easton, PA-NJ",236,0.397590361,73.77,19.5025,8.9975,103000,0.389863548,2.589641434,0.017378641,95.6,0.223731846,0.089690236,110
City,Santa Fe,Santa Fe,NM,"Santa Fe, NM","Santa Fe, NM",237,1.083410565,66.67,,,307700,0.195376099,2.806548613,0.015807605,38.6,0.133864426,0.047193385,105
